id,name,category,chemical_formula,color,hardness_mohs,luster,streak,cleavage,fracture,specific_gravity,crystal_system,formation_type,primary_elements,purity_percentage,quality_grade,commercial_value,industrial_uses,mining_region,market_value_usd_per_ton,extraction_difficulty,environmental_impact
112,Garnet,mineral,Fe3Al2Si3O12,red,7.5,vitreous,white,none,conchoidal,4.2,cubic,metamorphic,"Fe,Al,Si,O",78,A3,high,abrasive applications,Australia,550,moderate,low
113,Garnet,mineral,Fe3Al2Si3O12,pale-red,7.5,vitreous,white,none,conchoidal,4.0,cubic,metamorphic,"Fe,Al,Si,O",56,B2,medium,industrial abrasive,Idaho USA,350,moderate,low
114,Tourmaline,mineral,"Na(Li,Al)3Al6(BO3)3Si6O18(OH)4",pink-green,7.5,vitreous,white,none,uneven,3.1,trigonal,hydrothermal,"Na,Li,Al,B,Si,O",90,A2,premium,"jewelry,electronics,gemstone",Minas Gerais Brazil,5000,moderate,low
115,Tourmaline,mineral,"Na(Li,Al)3Al6(BO3)3Si6O18(OH)4",blue,7.5,vitreous,white,none,uneven,3.0,trigonal,hydrothermal,"Na,Li,Al,B,Si,O",70,B1,high,"decorative,gemstone",Sri Lanka,3000,difficult,low
116,Topaz,mineral,"Al2SiO4(F,OH)2",colorless,8,vitreous,white,perfect,uneven,3.5,orthorhombic,hydrothermal,"Al,Si,F,O",96,A1,premium,"gemstone,abrasive",Ouro Preto Brazil,12000,difficult,low
117,Topaz,mineral,"Al2SiO4(F,OH)2",blue,8,vitreous,white,perfect,uneven,3.5,orthorhombic,hydrothermal,"Al,Si,F,O",78,A3,high,"gemstone,jewelry",Ukraine,8000,difficult,low
118,Zircon,mineral,ZrSiO4,brown,7.5,adamantine,white,none,conchoidal,4.7,tetragonal,igneous,"Zr,Si,O",92,A2,premium,"zirconium,nuclear material,gemstone",Western Australia,2500,moderate,low
119,Zircon,mineral,ZrSiO4,colorless,7.5,adamantine,white,none,conchoidal,4.7,tetragonal,igneous,"Zr,Si,O",72,B1,high,zirconium production,Sri Lanka,1800,moderate,low
120,Calcite,mineral,CaCO3,white,3,vitreous,white,perfect,conchoidal,2.71,trigonal,sedimentary,"Ca,C,O",98,A1,premium,"cement,lime,antacid",Derbyshire UK,80,easy,low
121,Calcite,mineral,CaCO3,colorless,3,vitreous,white,perfect,conchoidal,2.71,trigonal,sedimentary,"Ca,C,O",82,A3,high,cement manufacturing,Mexico,60,easy,low
122,Calcite,mineral,CaCO3,gray,3,vitreous,white,perfect,conchoidal,2.7,trigonal,sedimentary,"Ca,C,O",62,B2,medium,industrial filler,Germany,42,easy,low
123,Dolomite,mineral,CaMg(CO3)2,white,3.5,vitreous,white,perfect,conchoidal,2.85,trigonal,sedimentary,"Ca,Mg,C,O",90,A2,premium,"cement,flux,dimension stone",Tyrol Austria,90,easy,low
124,Dolomite,mineral,CaMg(CO3)2,gray,3.5,vitreous,white,perfect,conchoidal,2.84,trigonal,sedimentary,"Ca,Mg,C,O",70,B1,high,cement production,Michigan USA,65,easy,low
125,Magnesite,mineral,MgCO3,white,3.5,vitreous,white,perfect,conchoidal,3.0,trigonal,metamorphic,"Mg,C,O",93,A2,premium,"refractories,magnesia",Styria Austria,250,moderate,low
126,Magnesite,mineral,MgCO3,gray-white,3.5,vitreous,white,perfect,conchoidal,2.95,trigonal,metamorphic,"Mg,C,O",72,B1,high,refractory materials,Greece,180,moderate,low
127,Rhodochrosite,mineral,MnCO3,rose-red,3.5,vitreous,white,perfect,uneven,3.6,trigonal,hydrothermal,"Mn,C,O",85,A2,premium,"ornamental,manganese ore",Colorado USA,600,moderate,low
128,Rhodochrosite,mineral,MnCO3,pink,3.5,vitreous,white,perfect,uneven,3.5,trigonal,hydrothermal,"Mn,C,O",62,B2,medium,decorative stone,Argentina,380,moderate,low
129,Gypsum,mineral,CaSO4·2H2O,white,2,vitreous,white,perfect,uneven,2.32,monoclinic,sedimentary,"Ca,S,O",96,A1,premium,"plaster,drywall,fertilizer",Nova Scotia Canada,35,easy,low
130,Gypsum,mineral,CaSO4·2H2O,gray,2,vitreous,white,perfect,uneven,2.3,monoclinic,sedimentary,"Ca,S,O",78,A3,high,construction materials,New Mexico USA,25,easy,low
131,Gypsum,mineral,CaSO4·2H2O,pink,2,pearly,white,perfect,uneven,2.29,monoclinic,sedimentary,"Ca,S,O",60,B2,medium,industrial gypsum,Spain,18,easy,low
132,Anhydrite,mineral,CaSO4,white,3.5,vitreous,white,perfect,uneven,2.9,orthorhombic,sedimentary,"Ca,S,O",92,A2,premium,"cement,fertilizer,sulfuric acid",Germany,45,easy,low
133,Anhydrite,mineral,CaSO4,blue-gray,3.5,vitreous,white,perfect,uneven,2.88,orthorhombic,sedimentary,"Ca,S,O",70,B1,high,cement production,Kansas USA,32,easy,low
134,Barite,mineral,BaSO4,white,3,vitreous,white,perfect,uneven,4.5,orthorhombic,hydrothermal,"Ba,S,O",97,A1,premium,"drilling mud,pigment,radiation shielding",Missouri USA,180,easy,low
135,Barite,mineral,BaSO4,blue,3,vitreous,white,perfect,uneven,4.48,orthorhombic,hydrothermal,"Ba,S,O",80,A3,high,drilling applications,Nevada USA,140,easy,low
136,Barite,mineral,BaSO4,brown,3,vitreous,white,perfect,uneven,4.4,orthorhombic,hydrothermal,"Ba,S,O",60,B2,medium,industrial filler,Germany,100,moderate,low
137,Celestite,mineral,SrSO4,blue-white,3.5,vitreous,white,perfect,uneven,3.96,orthorhombic,sedimentary,"Sr,S,O",90,A2,premium,"strontium chemicals,fireworks",Sicily Italy,600,moderate,low
138,Celestite,mineral,SrSO4,colorless,3.5,vitreous,white,perfect,uneven,3.95,orthorhombic,sedimentary,"Sr,S,O",68,B1,medium,strontium production,Ohio USA,450,moderate,low
139,Apatite,mineral,"Ca5(PO4)3(F,Cl,OH)",green,5,vitreous,white,none,conchoidal,3.2,hexagonal,igneous,"Ca,P,O",88,A2,premium,"fertilizer,phosphoric acid",Kola Russia,120,easy,moderate
140,Apatite,mineral,"Ca5(PO4)3(F,Cl,OH)",blue-green,5,vitreous,white,none,conchoidal,3.18,hexagonal,igneous,"Ca,P,O",68,B1,medium,phosphate fertilizer,Morocco,90,easy,moderate
141,Apatite,mineral,"Ca5(PO4)3(F,Cl,OH)",yellow,5,vitreous,white,none,conchoidal,3.15,hexagonal,igneous,"Ca,P,O",50,B3,low,industrial phosphate,Florida USA,65,easy,moderate
142,Turquoise,mineral,CuAl6(PO4)4(OH)8·4H2O,blue-green,5.5,waxy,white,none,conchoidal,2.76,triclinic,hydrothermal,"Cu,Al,P,O",85,A2,premium,"jewelry,ornamental",Nishapur Iran,15000,difficult,low
143,Turquoise,mineral,CuAl6(PO4)4(OH)8·4H2O,pale-blue,5,waxy,white,none,conchoidal,2.68,triclinic,hydrothermal,"Cu,Al,P,O",62,B2,medium,decorative arts,Nevada USA,8000,difficult,low
144,Lazulite,mineral,"(Mg,Fe)Al2(PO4)2(OH)2",blue,5.5,vitreous,white,none,uneven,3.1,monoclinic,metamorphic,"Mg,Fe,Al,P,O",78,A3,high,"collector mineral,gemstone",Werfen Austria,3000,difficult,low
145,Fluorite,mineral,CaF2,purple,4,vitreous,white,perfect,conchoidal,3.18,cubic,hydrothermal,"Ca,F",95,A1,premium,"flux,HF acid,optics",Derbyshire UK,450,easy,low
146,Fluorite,mineral,CaF2,green,4,vitreous,white,perfect,conchoidal,3.18,cubic,hydrothermal,"Ca,F",80,A3,high,"optical fluorite,flux",Illinois USA,350,easy,low
147,Fluorite,mineral,CaF2,colorless,4,vitreous,white,perfect,conchoidal,3.17,cubic,hydrothermal,"Ca,F",62,B2,medium,industrial flux,China,250,easy,low
148,Halite,mineral,NaCl,colorless,2.5,vitreous,white,perfect,conchoidal,2.16,cubic,sedimentary,"Na,Cl",99,A1,premium,"food,chemical feedstock,deicing",Cheshire UK,30,easy,low
149,Halite,mineral,NaCl,white,2.5,vitreous,white,perfect,conchoidal,2.16,cubic,sedimentary,"Na,Cl",90,A2,premium,salt production,Detroit USA,22,easy,low
150,Halite,mineral,NaCl,gray,2.5,vitreous,white,perfect,conchoidal,2.15,cubic,sedimentary,"Na,Cl",70,B1,high,industrial salt,Poland,15,easy,low
151,Sylvite,mineral,KCl,colorless,2,vitreous,white,perfect,conchoidal,1.99,cubic,sedimentary,"K,Cl",97,A1,premium,"potash fertilizer,chemical feedstock",Saskatchewan Canada,400,easy,low
152,Sylvite,mineral,KCl,red,2,vitreous,white,perfect,conchoidal,1.99,cubic,sedimentary,"K,Cl",80,A3,high,potash production,Germany,300,easy,low
153,Corundum,mineral,Al2O3,gray,9,adamantine,white,none,conchoidal,4.02,trigonal,metamorphic,"Al,O",78,A3,high,"abrasive,grinding wheels",Zimbabwe,1200,moderate,low
154,Corundum,mineral,Al2O3,brown,9,dull,white,none,conchoidal,3.98,trigonal,metamorphic,"Al,O",55,B2,medium,industrial abrasive,Turkey,800,moderate,low
155,Spinel,mineral,MgAl2O4,red,8,vitreous,white,none,conchoidal,3.58,cubic,metamorphic,"Mg,Al,O",92,A2,premium,"gemstone,refractories",Sri Lanka,50000,difficult,low
156,Spinel,mineral,MgAl2O4,blue,8,vitreous,white,none,conchoidal,3.56,cubic,metamorphic,"Mg,Al,O",72,B1,high,industrial refractory,Myanmar,35000,difficult,low
157,Ilmenite,mineral,FeTiO3,black,5.5,metallic,black,none,conchoidal,4.7,trigonal,igneous,"Fe,Ti,O",88,A2,premium,"titanium dioxide,titanium metal",Western Australia,800,easy,moderate
158,Ilmenite,mineral,FeTiO3,dark-gray,5.5,submetallic,black,none,conchoidal,4.5,trigonal,igneous,"Fe,Ti,O",65,B1,medium,titanium production,India,580,easy,moderate
159,Rutile,mineral,TiO2,red-brown,6.5,adamantine,pale-brown,none,uneven,4.25,tetragonal,igneous,"Ti,O",97,A1,premium,"titanium,paint pigment",Queensland Australia,2500,moderate,low
160,Rutile,mineral,TiO2,golden,6.5,adamantine,pale,none,uneven,4.23,tetragonal,igneous,"Ti,O",80,A3,high,titanium dioxide,Sierra Leone,1800,moderate,low
161,Anatase,mineral,TiO2,brown,5.5,adamantine,white,none,conchoidal,3.9,tetragonal,hydrothermal,"Ti,O",85,A2,premium,"titanium,photocatalysis",Norway,2200,difficult,low
162,Anatase,mineral,TiO2,blue,5.5,adamantine,white,none,conchoidal,3.88,tetragonal,hydrothermal,"Ti,O",65,B1,medium,photocatalyst,Brazil,1500,difficult,low
163,Diamond,mineral,C,colorless,10,adamantine,white,octahedral,conchoidal,3.52,cubic,igneous,C,99,A1,premium,"gemstone,cutting tools,electronics",Kimberley South Africa,5000000000,very-difficult,high
164,Diamond,mineral,C,yellow,10,adamantine,white,octahedral,conchoidal,3.52,cubic,igneous,C,90,A2,premium,"industrial diamond,gemstone",Botswana,3000000000,very-difficult,high
165,Diamond,mineral,C,brown,10,adamantine,white,octahedral,conchoidal,3.51,cubic,igneous,C,70,B1,high,industrial cutting,Siberia Russia,2000000000,very-difficult,high
166,Sulfur,mineral,S,yellow,2,resinous,yellow,none,conchoidal,2.07,orthorhombic,sedimentary,S,99,A1,premium,"sulfuric acid,fertilizer,gunpowder",Sicily Italy,180,easy,moderate
167,Sulfur,mineral,S,pale-yellow,2,resinous,yellow,none,conchoidal,2.06,orthorhombic,sedimentary,S,85,A2,premium,chemical industry,Louisiana USA,140,easy,moderate
168,Graphite,mineral,C,gray-black,1.5,metallic,black,perfect,uneven,2.23,hexagonal,metamorphic,C,96,A1,premium,"batteries,lubricant,electrodes",Heilongjiang China,1200,moderate,moderate
169,Graphite,mineral,C,dark-gray,1.5,metallic,black,perfect,uneven,2.2,hexagonal,metamorphic,C,75,A3,high,industrial graphite,Sri Lanka,800,moderate,moderate
170,Graphite,mineral,C,black,1.5,metallic,black,perfect,uneven,2.18,hexagonal,metamorphic,C,55,B2,medium,graphite production,Madagascar,550,moderate,moderate
171,Native Copper,mineral,Cu,copper-red,2.5,metallic,copper-red,none,hackly,8.9,cubic,hydrothermal,Cu,99,A1,premium,"electrical wire,plumbing,coinage",Keweenaw USA,8500,moderate,moderate
172,Native Copper,mineral,Cu,dark-red,2.5,metallic,copper,none,hackly,8.7,cubic,hydrothermal,Cu,82,A3,high,copper production,Arizona USA,7200,moderate,moderate
173,Granite,rock,SiO2+Al2O3+K2O,gray-pink,6.5,vitreous,white,none,uneven,2.7,none,igneous,"Si,Al,K,Na,O",90,A2,premium,"dimension stone,countertop,monuments",Aberdeen Scotland,350,easy,low
174,Granite,rock,SiO2+Al2O3+K2O,pink,6.5,vitreous,white,none,uneven,2.65,none,igneous,"Si,Al,K,Na,O",72,B1,high,"construction,paving",Minas Gerais Brazil,250,easy,low
175,Granite,rock,SiO2+Al2O3+K2O,gray,6.5,vitreous,white,none,uneven,2.62,none,igneous,"Si,Al,K,Na,O",55,B2,medium,"aggregate,fill",Norway,150,easy,low
176,Basalt,rock,SiO2+MgO+CaO,black,6,vitreous,white,none,uneven,3.0,none,igneous,"Si,Mg,Ca,Fe,O",88,A2,premium,"construction aggregate,basalt fiber",Iceland,180,easy,low
177,Basalt,rock,SiO2+MgO+CaO,dark-gray,6,vitreous,gray,none,uneven,2.95,none,igneous,"Si,Mg,Ca,Fe,O",68,B1,medium,road construction,Hawaii USA,130,easy,low
178,Basalt,rock,SiO2+MgO+CaO,gray-black,6,dull,gray,none,uneven,2.9,none,igneous,"Si,Mg,Ca,Fe,O",48,B3,low,fill material,India,80,easy,low
179,Obsidian,rock,SiO2,black,5.5,vitreous,white,none,conchoidal,2.35,none,igneous,"Si,O",92,A2,premium,"ornamental,surgical scalpels",Oregon USA,500,moderate,low
180,Obsidian,rock,SiO2,dark-brown,5.5,vitreous,white,none,conchoidal,2.33,none,igneous,"Si,O",72,B1,high,decorative,Mexico,320,moderate,low
181,Pumice,rock,SiO2,white,6,dull,white,none,uneven,0.9,none,igneous,"Si,Al,O",82,A3,high,"abrasive,lightweight aggregate",Lipari Italy,120,easy,low
182,Pumice,rock,SiO2,gray,6,dull,white,none,uneven,0.88,none,igneous,"Si,Al,O",62,B2,medium,concrete filler,Iceland,80,easy,low
183,Rhyolite,rock,SiO2,pink-gray,6,vitreous,white,none,conchoidal,2.55,none,igneous,"Si,Al,K,O",80,A3,high,"dimension stone,aggregate",Nevada USA,200,moderate,low
184,Rhyolite,rock,SiO2,gray,6,vitreous,gray,none,conchoidal,2.5,none,igneous,"Si,Al,K,O",60,B2,medium,construction aggregate,Yellowstone USA,140,moderate,low
185,Andesite,rock,SiO2+Al2O3,gray,6,vitreous,gray,none,uneven,2.7,none,igneous,"Si,Al,Ca,Na,O",78,A3,high,"dimension stone,road construction",Andes Peru,190,moderate,low
186,Andesite,rock,SiO2+Al2O3,dark-gray,6,dull,gray,none,uneven,2.65,none,igneous,"Si,Al,Ca,Na,O",58,B2,medium,aggregate,Japan,130,moderate,low
187,Diorite,rock,SiO2+Al2O3,gray-black,6,vitreous,gray,none,uneven,2.8,none,igneous,"Si,Al,Ca,Na,Fe,O",82,A3,high,"dimension stone,aggregate",Scotland UK,250,moderate,low
188,Diorite,rock,SiO2+Al2O3,dark-gray,6,dull,gray,none,uneven,2.78,none,igneous,"Si,Al,Ca,Na,Fe,O",62,B2,medium,construction,Italy,170,moderate,low
189,Gabbro,rock,SiO2+MgO,black,6,vitreous,gray,none,uneven,3.0,none,igneous,"Si,Mg,Ca,Fe,O",85,A2,premium,"dimension stone,crushed stone",Norway,280,easy,low
190,Gabbro,rock,SiO2+MgO,dark-green,6,vitreous,gray,none,uneven,2.98,none,igneous,"Si,Mg,Ca,Fe,O",65,B1,medium,road base,South Africa,190,easy,low
191,Peridotite,rock,MgO+SiO2,olive-green,6.5,vitreous,white,none,uneven,3.3,none,igneous,"Mg,Fe,Si,O",88,A2,premium,"olivine source,gems",Horoman Japan,350,difficult,low
192,Peridotite,rock,MgO+SiO2,green-brown,6.5,vitreous,white,none,uneven,3.25,none,igneous,"Mg,Fe,Si,O",65,B1,medium,refractory aggregate,Arizona USA,240,difficult,low
193,Tuff,rock,SiO2,white,2.5,dull,white,none,uneven,1.2,none,igneous,"Si,Al,O",70,B1,high,lightweight building stone,Cappadocia Turkey,150,easy,low
194,Tuff,rock,SiO2,gray,2.5,dull,gray,none,uneven,1.15,none,igneous,"Si,Al,O",50,B3,low,construction filler,Italy,90,easy,low
195,Sandstone,rock,SiO2,tan,6,dull,white,none,uneven,2.3,none,sedimentary,"Si,O",85,A2,premium,"building stone,glass sand,oil reservoir",Colorado USA,120,easy,low
196,Sandstone,rock,SiO2,red-brown,6,dull,white,none,uneven,2.25,none,sedimentary,"Si,O",68,B1,medium,construction stone,Sydney Australia,80,easy,low
197,Sandstone,rock,SiO2,gray,6,dull,gray,none,uneven,2.2,none,sedimentary,"Si,O",50,B3,low,aggregate,Scotland UK,55,easy,low
198,Limestone,rock,CaCO3,white,3,dull,white,none,uneven,2.71,none,sedimentary,"Ca,C,O",92,A2,premium,"cement,lime,aggregate,flux",England UK,95,easy,low
199,Limestone,rock,CaCO3,gray,3,dull,white,none,uneven,2.7,none,sedimentary,"Ca,C,O",75,A3,high,cement production,Texas USA,70,easy,low
200,Limestone,rock,CaCO3,brown,3,dull,gray,none,uneven,2.68,none,sedimentary,"Ca,C,O",55,B2,medium,agricultural lime,Italy,48,easy,low
201,Shale,rock,SiO2+Al2O3,gray,2,dull,gray,none,uneven,2.4,none,sedimentary,"Si,Al,K,O",72,B1,high,"oil shale,brick,pottery",Pennsylvania USA,60,moderate,moderate
202,Shale,rock,SiO2+Al2O3,black,2,dull,gray,none,uneven,2.35,none,sedimentary,"Si,Al,K,O",52,B3,low,ceramic raw material,Yorkshire UK,40,moderate,moderate
203,Mudstone,rock,SiO2+Al2O3,gray,2.5,dull,gray,none,uneven,2.35,none,sedimentary,"Si,Al,O",65,B1,medium,"brick,cement",Kansas USA,45,easy,low
204,Mudstone,rock,SiO2+Al2O3,brown,2.5,dull,gray,none,uneven,2.3,none,sedimentary,"Si,Al,O",45,B3,low,fill material,Mississippi USA,28,easy,low
205,Conglomerate,rock,SiO2,multicolor,6,dull,white,none,uneven,2.4,none,sedimentary,"Si,O",75,A3,high,"aggregate,fill",California USA,80,easy,low
206,Conglomerate,rock,SiO2,gray-brown,6,dull,gray,none,uneven,2.35,none,sedimentary,"Si,O",55,B2,medium,construction fill,Australia,55,easy,low
207,Chalk,rock,CaCO3,white,1.5,dull,white,none,uneven,1.8,none,sedimentary,"Ca,C,O",95,A1,premium,"cement,writing chalk,filler",Sussex England,65,easy,low
208,Chalk,rock,CaCO3,off-white,1.5,dull,white,none,uneven,1.75,none,sedimentary,"Ca,C,O",78,A3,high,agricultural lime,France,42,easy,low
209,Coal Anthracite,rock,C,black,2.5,vitreous,black,none,conchoidal,1.7,none,sedimentary,"C,H,O",96,A1,premium,"high-grade fuel,metallurgy",Pennsylvania USA,220,easy,high
210,Coal Bituminous,rock,C,black,2,resinous,black,none,uneven,1.35,none,sedimentary,"C,H,O",78,A3,high,"electricity generation,coking coal",West Virginia USA,120,easy,high
211,Coal Lignite,rock,C,brown-black,1.5,dull,brown,none,uneven,1.1,none,sedimentary,"C,H,O",52,B3,low,electricity generation,Germany,55,easy,high
212,Rock Salt,rock,NaCl,colorless,2.5,vitreous,white,perfect,conchoidal,2.16,none,sedimentary,"Na,Cl",98,A1,premium,"road salt,chemical feedstock",Wieliczka Poland,30,easy,low
213,Rock Salt,rock,NaCl,white,2.5,vitreous,white,perfect,conchoidal,2.15,none,sedimentary,"Na,Cl",85,A2,premium,industrial salt,Kansas USA,22,easy,low
214,Chert,rock,SiO2,gray,7,dull,white,none,conchoidal,2.6,none,sedimentary,"Si,O",95,A1,premium,"flint tools,aggregate",England UK,100,moderate,low
215,Chert,rock,SiO2,brown,7,dull,white,none,conchoidal,2.58,none,sedimentary,"Si,O",75,A3,high,aggregate,Texas USA,70,moderate,low
216,Marble,rock,CaCO3,white,3,vitreous,white,none,uneven,2.72,none,metamorphic,"Ca,C,O",96,A1,premium,"dimension stone,sculpture,tile",Carrara Italy,800,moderate,low
217,Marble,rock,CaCO3,gray,3,vitreous,white,none,uneven,2.71,none,metamorphic,"Ca,C,O",78,A3,high,"flooring,countertop",Vermont USA,550,moderate,low
218,Marble,rock,CaCO3,pink,3,vitreous,white,none,uneven,2.7,none,metamorphic,"Ca,C,O",58,B2,medium,decorative,Greece,380,moderate,low
219,Slate,rock,SiO2+Al2O3,gray-black,3.5,dull,gray,perfect,uneven,2.7,none,metamorphic,"Si,Al,O",90,A2,premium,"roofing,flooring,blackboard",Wales UK,400,moderate,low
220,Slate,rock,SiO2+Al2O3,dark-gray,3.5,dull,gray,perfect,uneven,2.68,none,metamorphic,"Si,Al,O",70,B1,high,roofing tiles,Vermont USA,280,moderate,low
221,Slate,rock,SiO2+Al2O3,green-gray,3.5,dull,gray,perfect,uneven,2.65,none,metamorphic,"Si,Al,O",52,B3,low,aggregate,Spain,180,moderate,low
222,Quartzite,rock,SiO2,white,7,vitreous,white,none,conchoidal,2.65,none,metamorphic,"Si,O",97,A1,premium,"dimension stone,aggregate,silica",South Africa,180,easy,low
223,Quartzite,rock,SiO2,gray,7,vitreous,white,none,conchoidal,2.63,none,metamorphic,"Si,O",80,A3,high,construction aggregate,Idaho USA,120,easy,low
224,Quartzite,rock,SiO2,pink,7,vitreous,white,none,conchoidal,2.62,none,metamorphic,"Si,O",60,B2,medium,dimension stone,Norway,85,easy,low
225,Schist,rock,SiO2+Al2O3,silver-gray,4,pearly,gray,perfect,uneven,2.7,none,metamorphic,"Si,Al,Mg,O",82,A3,high,"roofing,flagstone",Scotland UK,220,moderate,low
226,Schist,rock,SiO2+Al2O3,green,4,pearly,gray,perfect,uneven,2.68,none,metamorphic,"Si,Al,Mg,O",62,B2,medium,construction,Vermont USA,150,moderate,low
227,Gneiss,rock,SiO2+Al2O3,gray-pink,6,vitreous,gray,none,uneven,2.75,none,metamorphic,"Si,Al,K,Na,O",88,A2,premium,"dimension stone,countertop",Norway,300,easy,low
228,Gneiss,rock,SiO2+Al2O3,gray,6,vitreous,gray,none,uneven,2.72,none,metamorphic,"Si,Al,K,Na,O",68,B1,medium,construction,Finland,200,easy,low
229,Hornfels,rock,SiO2+Al2O3,dark-gray,6.5,dull,gray,none,uneven,2.8,none,metamorphic,"Si,Al,Fe,O",78,A3,high,"aggregate,ballast",Cornwall UK,200,difficult,low
230,Hornfels,rock,SiO2+Al2O3,black,6.5,dull,gray,none,uneven,2.78,none,metamorphic,"Si,Al,Fe,O",58,B2,medium,construction fill,Germany,140,difficult,low
